
binary search results
binary search time: 0.18765521049499512 0.11057791872013498 0.509260141560674
         1811091 function calls (1777313 primitive calls) in 2.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.180    0.090    0.180    0.090 {built-in method matplotlib._png.write_png}
    28897    0.137    0.000    0.137    0.000 {method 'split' of 'str' objects}
        1    0.080    0.080    1.682    1.682 plot_gtex.py:102(main)
    22951    0.076    0.000    0.078    0.000 plot_gtex.py:24(binary_search)
    21537    0.055    0.000    0.055    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    27273    0.048    0.000    0.048    0.000 {built-in method numpy.array}
      261    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
29867/25733    0.039    0.000    0.202    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      291    0.035    0.000    0.041    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      120    0.034    0.000    0.035    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      360    0.028    0.000    0.028    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.027    0.027    2.104    2.104 plot_gtex.py:1(<module>)
    18695    0.027    0.000    0.088    0.000 fromnumeric.py:73(_wrapreduction)
      571    0.024    0.000    0.024    0.000 {method 'decompress' of 'zlib.Decompress' objects}
43631/32572    0.024    0.000    0.047    0.000 artist.py:219(stale)
     2467    0.022    0.000    0.038    0.000 inspect.py:613(cleandoc)
    22953    0.022    0.000    0.023    0.000 plot_gtex.py:15(linear_search)
      576    0.019    0.000    0.052    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    34617    0.017    0.000    0.022    0.000 __init__.py:810(__getitem__)
     1263    0.017    0.000    0.188    0.000 lines.py:751(draw)
 1040/949    0.015    0.000    0.066    0.000 {built-in method builtins.__build_class__}
    47/45    0.015    0.000    0.017    0.000 {built-in method _imp.create_dynamic}
      317    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
      436    0.014    0.000    0.193    0.000 _base.py:2425(handle_single_axis)
    68501    0.014    0.000    0.021    0.000 {built-in method builtins.isinstance}
      655    0.013    0.000    0.112    0.000 lines.py:273(__init__)
        3    0.012    0.004    0.012    0.004 backend_agg.py:80(__init__)
4030/2489    0.011    0.000    0.039    0.000 transforms.py:2395(get_affine)
     1335    0.011    0.000    0.014    0.000 transforms.py:2791(nonsingular)
126114/125168    0.011    0.000    0.011    0.000 {built-in method builtins.len}
    29225    0.011    0.000    0.013    0.000 {built-in method builtins.getattr}
        1    0.010    0.010    0.010    0.010 category.py:29(StrCategoryConverter)
      567    0.009    0.000    0.045    0.000 lines.py:667(recache)
   108181    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
      875    0.009    0.000    0.022    0.000 numeric.py:2256(within_tol)
      655    0.009    0.000    0.049    0.000 transforms.py:708(intersection)
5522/5521    0.008    0.000    0.038    0.000 transforms.py:1025(get_points)
5113/2398    0.008    0.000    0.009    0.000 transforms.py:137(_invalidate_internal)
     2890    0.008    0.000    0.023    0.000 transforms.py:726(__init__)
    14513    0.008    0.000    0.008    0.000 transforms.py:82(__init__)
  448/181    0.008    0.000    0.020    0.000 sre_parse.py:475(_parse)
     1336    0.007    0.000    0.007    0.000 {built-in method posix.stat}
    18695    0.007    0.000    0.007    0.000 fromnumeric.py:74(<dictcomp>)
 1760/876    0.007    0.000    0.015    0.000 units.py:142(get_converter)
     5117    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1110    0.007    0.000    0.011    0.000 artist.py:74(__init__)
     9948    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
      120    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    22324    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    28381    0.006    0.000    0.006    0.000 artist.py:1020(sticky_edges)
        1    0.006    0.006    0.006    0.006 {built-in method mkl._py_mkl_service.get_version}
     2244    0.006    0.000    0.007    0.000 transforms.py:164(set_children)
     6875    0.006    0.000    0.036    0.000 fromnumeric.py:2629(amin)
      582    0.006    0.000    0.052    0.000 text.py:270(_get_layout)
    43860    0.006    0.000    0.006    0.000 artist.py:774(get_animated)
     6881    0.005    0.000    0.032    0.000 fromnumeric.py:2504(amax)
